	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
P108-PWY	9.800457266201562e-06	1.3473597009832004e-05	2.086613466547462e-05	1.5126753058384113e-05	4.7385242672351595e-05	1.2268140755694238e-05	5.8520060791178395e-05	1.2829158907686131e-05	1.6052451357434038e-05
PWY-5154	3.2493703815779985e-05	3.485770861785213e-05	0.00010640157970828039	0.0001339248404702705	0.00020630596965994947	5.811629018864045e-05	0.00020988919892196361	5.5711938462773376e-05	6.246630086506697e-05
OANTIGEN-PWY	3.646135816387749e-05	5.8888616805114575e-05	5.267496163115254e-05	6.274527083127068e-05	8.909422855491197e-05	6.784365921578414e-05	0.00011210843180917323	2.508559553856095e-05	3.536586105853639e-05
UDPNAGSYN-PWY	2.794003696190197e-05	3.537797175390576e-05	3.9894556608727636e-05	0.00021304488524087563	0.0001839936406589526	5.335057586599494e-05	0.00023794825567207212	1.4561532864148846e-05	2.2751015328421515e-05
PWY-5973	6.365868324137626e-05	8.894522144438583e-05	0.00015374747440713413	0.00011988317485012199	0.00019128748041184868	6.0027598457150555e-05	0.00019792098247823703	8.066568714313909e-05	6.8745135914253e-05
FASYN-INITIAL-PWY	6.539557121925058e-05	1.7344771162401926e-05	8.49280011415697e-05	9.912301369426703e-05	0.00016524776819700125	8.325998559979387e-05	0.0001315388934613325	0.00011388564819655352	0.00010879865155785933
PWY-2941	2.0139558691631388e-05	1.8884732424494343e-05	0.00010558452558145378	3.697811155544543e-05	2.7056702416725455e-05	1.7179726845734197e-05	1.769562275625509e-05	1.744596504724214e-05	3.94990746901985e-05
PWY-6385	6.729122837123702e-05	0.00013452098427163079	0.00018276794837317916	0.00016765662708889033	0.00016949490070858501	0.00012443364985685216	0.0001862934847034443	0.00011356180806121113	0.00010513921241929386
ARO-PWY	6.106828741608611e-05	6.160580645761182e-05	0.0001349021622402493	0.00014197679216255963	0.00021758750104532498	0.0001371525082320699	0.0001985695429856427	0.00011458473570161569	0.00010172844723586263
COMPLETE-ARO-PWY	6.612752666520525e-05	6.74205403976784e-05	0.00014571202340773207	0.00014374530129121225	0.00021660141144473638	0.0001177359464324974	0.00020817387541548007	0.00011302557129721012	0.00010816535773807997
